0𝟎0𝟎0
1𝟏1𝟏1
2𝟐2𝟐2
3𝟑3𝟑3
4𝟒4𝟒4
5𝟓5𝟓5
6𝟔6𝟔6
7𝟕7𝟕7
8𝟖8𝟖8
9𝟗9𝟗9
A𝐀𝐴𝑨𝒜
B𝐁𝐵𝑩ℬ
C𝐂𝐶𝑪𝒞
D𝐃𝐷𝑫𝒟
E𝐄𝐸𝑬ℰ
F𝐅𝐹𝑭ℱ
G𝐆𝐺𝑮𝒢
H𝐇𝐻𝑯ℋ
I𝐈𝐼𝑰ℐ
J𝐉𝐽𝑱𝒥
K𝐊𝐾𝑲𝒦
L𝐋𝐿𝑳ℒ
M𝐌𝑀𝑴ℳ
N𝐍𝑁𝑵𝒩
O𝐎𝑂𝑶𝒪
P𝐏𝑃𝑷𝒫
Q𝐐𝑄𝑸𝒬
R𝐑𝑅𝑹ℛ
S𝐒𝑆𝑺𝒮
T𝐓𝑇𝑻𝒯
U𝐔𝑈𝑼𝒰
V𝐕𝑉𝑽𝒱
W𝐖𝑊𝑾𝒲
X𝐗𝑋𝑿𝒳
Y𝐘𝑌𝒀𝒴
Z𝐙𝑍𝒁𝒵
a𝐚𝑎𝒂𝒶
b𝐛𝑏𝒃𝒷
c𝐜𝑐𝒄𝒸
d𝐝𝑑𝒅𝒹
e𝐞𝑒𝒆ℯ
f𝐟𝑓𝒇𝒻
g𝐠𝑔𝒈ℊ
h𝐡ℎ𝒉𝒽
i𝐢𝑖𝒊𝒾
j𝐣𝑗𝒋𝒿
k𝐤𝑘𝒌𝓀
l𝐥𝑙𝒍𝓁
m𝐦𝑚𝒎𝓂
n𝐧𝑛𝒏𝓃
o𝐨𝑜𝒐ℴ
p𝐩𝑝𝒑𝓅
q𝐪𝑞𝒒𝓆
r𝐫𝑟𝒓𝓇
s𝐬𝑠𝒔𝓈
t𝐭𝑡𝒕𝓉
u𝐮𝑢𝒖𝓊
v𝐯𝑣𝒗𝓋
w𝐰𝑤𝒘𝓌
x𝐱𝑥𝒙𝓍
y𝐲𝑦𝒚𝓎
z𝐳𝑧𝒛𝓏
Α𝚨𝛢𝜜Α
Β𝚩𝛣𝜝Β
Γ𝚪𝛤𝜞Γ
Δ𝚫𝛥𝜟Δ
Ε𝚬𝛦𝜠Ε
Ζ𝚭𝛧𝜡Ζ
Η𝚮𝛨𝜢Η
Θ𝚯𝛩𝜣Θ
Ι𝚰𝛪𝜤Ι
Κ𝚱𝛫𝜥Κ
Λ𝚲𝛬𝜦Λ
Μ𝚳𝛭𝜧Μ
Ν𝚴𝛮𝜨Ν
Ξ𝚵𝛯𝜩Ξ
Ο𝚶𝛰𝜪Ο
Π𝚷𝛱𝜫Π
Ρ𝚸𝛲𝜬Ρ
Θ𝚹𝛳𝜭Θ
𝚺Σ𝛴𝜮𝚺
Τ𝚻𝛵𝜯Τ
Υ𝚼𝛶𝜰Υ
Φ𝚽𝛷𝜱Φ
Χ𝚾𝛸𝜲Χ
Ψ𝚿𝛹𝜳Ψ
Ω𝛀𝛺𝜴Ω
∇𝛁𝛻𝜵∇
α𝛂𝛼𝜶α
β𝛃𝛽𝜷β
γ𝛄𝛾𝜸γ
δ𝛅𝛿𝜹δ
ε𝛆𝜀𝜺ε
ζ𝛇𝜁𝜻ζ
η𝛈𝜂𝜼η
θ𝛉𝜃𝜽θ
ι𝛊𝜄𝜾ι
κ𝛋𝜅𝜿κ
λ𝛌𝜆𝝀λ
μ𝛍𝜇𝝁μ
ν𝛎𝜈𝝂ν
ξ𝛏𝜉𝝃ξ
ο𝛐𝜊𝝄ο
π𝛑𝜋𝝅π
ρ𝛒𝜌𝝆ρ
ς𝛓𝜍𝝇ς
σ𝛔𝜎𝝈σ
τ𝛕𝜏𝝉τ
υ𝛖𝜐𝝊υ
φ𝛗𝜑𝝋φ
χ𝛘𝜒𝝌χ
ψ𝛙𝜓𝝍ψ
ω𝛚𝜔𝝎ω
∂𝛛𝜕𝝏∂
ε𝛜𝜖𝝐ε
ϑ𝛝𝜗𝝑ϑ
ϰ𝛞𝜘𝝒ϰ
ϕ𝛟𝜙𝝓ϕ
ϱ𝛠𝜚𝝔ϱ
ϖ𝛡𝜛𝝕ϖ
